DateKey,Year,Month,Mdate
20191115,2019,November,15
20090914,2009,September,14
20101107,2010,November,7
20101212,2010,December,12
20111117,2011,November,17
20111130,2011,November,30
20120714,2012,July,14
20120723,2012,July,23
20121004,2012,October,4
20130129,2013,January,29
20130228,2013,February,28
20130717,2013,July,17
20140504,2014,May,4
20131120,2013,November,20
20160607,2016,June,7
20161022,2016,October,22
20170106,2017,January,6
20170616,2017,June,16
20180909,2018,September,9
20181107,2018,November,7
20181223,2018,December,23
20190327,2019,March,27
20190622,2019,June,22
